,Bold: ABA All-Time Team ,,HOF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,50%,60%,70%,80%,90%,100%,110%,120%,130%,140%,150%
67-70,First Name,Last Name,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
12 T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Ira ""Large""",Harge,C,WAS Flo,MS,67,6,New Mexico,10,12,2,0,,,,,,,,,,,,,,,,,,
77,Mel,Nowell,G,NJ chi,OH,67,1,Ohio State,10,3,2,1,,,,,,,,,,,,,,,,,,
78,Simmie,Hill,F,DAL Sd,PA,69,4,(three),10,5,1,0,,,,,,,,,,,,,,,,,,
79,"George ""Hawkeye""",Irvine,F,VIR,WA,70,6,Washington,10,3,1,0,,,,,,,,,,,,,,,,,,
80,Neil,Johnson,FC,VIR Pho,MI,70,3,Tulsa / Creighton,10,7,2,0,,,,,,,,,,,,,,,,,,
81,Ollie,Taylor,GF,NYA,Nyc,70,4,Houston,10,4,2,0,,,,,,,,,,,,,,,,,,
82,Ollie,Darden,F,in ken,"MS, Det",67,3,Michigan,9,6,1,0,,,,,,,,,,,,,,,,,,
83,"Willis ""Lefty""",Thomas,G,ana,,67,1,Harbor College (Los A),9,2,1,0,,,,,,,,,,,,,,,,,,
84,Walt,Piatkowski,F,den,Toledo,68,3,Bowling Green,9,4,1,1,,,,,,,,,,,,,,,,,,
85,"Bob ""Colonel""",Warren,G,uta san,KY,68,8,Vanderbilt (TN),9,3,2,0,,,,,,,,,,,,,,,,,,
86,Gene,Littles,G,CAR ,DC,69,6,High Point,9,3,3,0,,,,,,,,,,,,,,,,,,
87,"Roland ""Fatty""",Taylor,G,VIR den,DC,69,7,LaSalle,9,4,4,0,,,,,,,,,,,,,,,,,,
88,Sam,Robinson,F,flo,Los A,70,2,Cal St Long Beach,9,4,1,0,,,,,,,,,,,,,,,,,,
89,Gerald,Govan,FC,MEM uta,NJ,67,9,St. Mary of the Plains,8,11,3,0,,,,,,,,,,,,,,,,,,
90,Arvesta,Kelly,G,PITT,MS,67,5,Lincoln (MO),8,3,2,0,,,,,,,,,,,,,,,,,,
91,George,Peeples,C,ind car,GA,67,6,Iowa,8,7,1,0,,,,,,,,,,,,,,,,,,
92,Mel,Peterson,GF,oak,MN,67,3,Wheaton,8,5,1,0,,,,,,,,,,,,,,,,,,
93,Lee,Davis,F/C,MEM,NC,68,8,NC Central,8,5,1,0,,,,,,,,,,,,,,,,,,
94,John,Barnhill,G,stl ind,KY,69,3,Tennessee State,8,2,3,1,,,,,,,,,,,,,,,,,,
95,Craig,Raymond,C,flo mem la,WA,69,4,Brigham Young,8,7,2,0,,,,,,,,,,,,,,,,,,
96,"Tom ""Hawk""",Workman,FC,la bal den,WA,69,2,Seattle,8,3,1,0,,,,,,,,,,,,,,,,,,
97,Jeff,Congdon,G,DEN ana,"Elk, WIS",67,5,Brigham Young,7,2,3,1,,,,,,,,,,,,,,,,,,
98,Craig,Dill,C,pitt,MI,67,1,Michigan,7,6,1,0,,,,,,,,,,,,,,,,,,
99,Jerry,Harkness,G,ind,Nyc,67,2,Loyola (IL),7,3,2,0,,,,,,,,,,,,,,,,,,
100,Wayne,Chapman,GF,KEN,KY,68,4,Western Kentucky,7,3,2,0,,,,,,,,,,,,,,,,,,
101,Julius,Keye,FC,DEN,GA,69,6,Alcorn A&M (MS),7,11,2,0,,,,,,,,,,,,,,,,,,
102,Joe,DePre,G,nyn,NY,70,3,St. John's (NY),7,2,2,0,,,,,,,,,,,,,,,,,,
103,Jeff,Shoulak,F,WIS,WI,0,0,Wisconsin,6,3,1,0,,,,,,,,,,,,,,,,,,
104,Jim,Shoulak,F,MIN OH,WI,0,0,Creighton,6,3,1,0,,,,,,,,,,,,,,,,,,
105,Bob,Bedell,F,DAL,Los A,67,4,Stanford,6,2,1,0,,,,,,,,,,,,,,,,,,
106,"Elton ""Mac""",McGriff,C,dal,TX,68,2,SF / Creighton,6,5,1,0,,,,,,,,,,,,,,,,,,
107,Coby,Dietrick,CF,SAN chi,CA,70,6,San Jose State,6,5,2,0,,,,,,,,,,,,,,,,,,
108,Dan,Hester,F,den,IL,70,1,LSU,6,6,1,0,,,,,,,,,,,,,,,,,,
109,Mike,Pratt,G,KEN,Dayton,70,2,Kentucky,6,3,2,0,,,,,,,,,,,,,,,,,,
110,Terry,Kunze,G,mn,MN,67,1,Minnesota,5,2,1,0,,,,,,,,,,,,,,,,,,
111,John,Clawson,F,OAK min,MN,68,1,Michigan,5,3,1,0,,,,,,,,,,,,,,,,,,
112,Bobby,Hooper,G,IND,OH,68,1,Dayton,5,2,3,0,,,,,,,,,,,,,,,,,,
113,Al,Cueto,CF,MEM,Cuba,69,2,Tulsa,5,5,1,0,,,,,,,,,,,,,,,,,,
114,Tom,Hagan,G,dal,KY,69,2,Vanderbilt,5,2,2,0,,,,,,,,,,,,,,,,,,
115,George,Tinsley,F,ken flo,KY,69,2,Kentucky Wesleyan,5,3,1,0,,,,,,,,,,,,,,,,,,
116,Jim,Ard,FC,bos NYN,Chi,70,4,Cincinnati,5,5,1,0,,,,,,,,,,,,,,,,,,
117,Ken,Wilburn,F,den,MI,68,2,Central State (OH),4,4,1,0,,,,,,,,,,,,,,,,,,
118,Vann,Williford,F,car,NC,70,1,NC St,4,2,1,0,,,,,,,,,,,,,,,,,,
119,"Bob ""Arnie""",Arnzen,F,in,KY,69,3,Notre Dame,3,1,1,0,,,,,,,,,,,,,,,,,,
120,"Gerald ""Jerry""",McKee,G,IND,Dayton,69,1,Ohio,3,1,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PTS,REB,AST,3-PT,,,,,,,,,,,,,,,,,,
,,,,,,,,PL,1522,676,291,31,,,,,,,,,,,,,,,,,,
,,,,,,,,120,12.7,5.6,2.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,101.5,45.1,19.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,114.2,50.7,21.8,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,126.8,56.3,24.3,,,,,,,,,,,,,,,,,,,
,,,,,,,ABA,all-time,111.9,51.7,21.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Brooklyn,122,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Nashville,122,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Louisville,121,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tampa,121,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Akron,117,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hoosiers,104,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,117.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fresno,126,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gateway,117,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Texans,108,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Minnesota,107,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Wisconsin,104,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tucson,101,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,110.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,114.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AKRON,AIRMEN,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,1370.4,,,,,,,,,,,,,,,
1,Johnny,Brisker,FG,Pit Sea,Det,69,3,Toledo,26,8,3,1,,,114.2,,,,,,,,,,,,,,,
2,Larry,Jones,GF,DEN Flo,OH,67,6,Toledo,21,5,4,0,,,,,,,,,,,,,,,,,,
3,George,Carter,FG,VIR,Buff,67,7,St. Bonaventure,18,7,2,0,,,,,,,,,,,,,,,,,,
4,Manny,Leaks,CF,DAL Nyn,Cleve,68,4,Niagara (Buff),14,10,1,0,,,,,,,,,,,,,,,,,,
5,Art,Becker,F,HOU in den,Akron,67,6,Arizona State,13,6,1,0,,,,,,,,,,,,,,,,,,
6,Mel,Nowell,G,NJ chi,OH,67,1,Ohio State,10,3,2,1,,,,,,,,,,,,,,,,,,
7,Ollie,Darden,F,in ken,"MS, Det",67,3,Michigan,9,6,1,0,,,,,,,,,,,,,,,,,,
8,Walt,Piatkowski,F,den,Toledo,68,3,Bowling Green,9,4,1,1,,,,,,,,,,,,,,,,,,
9,Joe,DePre,G,nyn,NY,70,3,St. John's (NY),7,2,2,0,,,,,,,,,,,,,,,,,,
10,"Gerald ""Jerry""",McKee,G,IND,Dayton,69,1,Ohio,3,1,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,130,52,18,3,,,117,,,,,,,,,,,,,,,
,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BROOKLYN,KNIGHTS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,"Levern ""Jelly"" ""Doc""",Tart,GF,NJN oak,SC,67,4,Bradley,19,5,3,0,,,,,,,,,,,,,,,,,,
2,Dave,Debusschere,F,NY,Det,0,0,Detroit Mercy,16,11,3,0,,,,,,,,,,,,,,,,,,
3,Doug,Moe,FG,OAK Bkn,Bkn,67,5,North Carolina,16,7,3,0,,,,,,,,,,,,,,,,,,
4,"Billy ""Whopper""",Paultz,CF,NYN SAN HOU,NJ,70,6,St. John's (NY),16,11,2,0,,,,,,,,,,,,,,,,,,
5,"Art ""Artie""",Heyman,FG,Pit Nyk,Nyc,67,3,Duke,15,6,3,0,,,,,,,,,,,,,,,,,,
6,Sonny,Dove,F,NYA,Bkn,69,3,St John's (NY),14,7,1,0,,,,,,,,,,,,,,,,,,
7,Steve,Chubin,G,ana ind,Nyc,67,3,Rhode Island,13,4,4,0,,,,,,,,,,,,,,,,,,
8,"Bill ""Mel, Clops""",Melchionni,G,NYA,Philly,69,7,Villanova,12,2,6,1,,,,,,,,,,,,,,,,,,
9,Ollie,Taylor,GF,NYA,Nyc,70,4,Houston,10,4,2,0,,,,,,,,,,,,,,,,,,
10,Jim,Ard,FC,bos NYN,Chi,70,4,Cincinnati,5,5,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,136,62,28,1,,,122.4,,,,,,,,,,,,,,,
,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,122.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,THE,HOOSIERS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,"Mel ""Big D""",Daniels,C,IND,Det,67,8,New Mexico  ,19,15,2,0,,,,,,,,,,,,,,,,,,
2,"Roger ""The Rajah""",Brown,FG,IND,Bkn,67,8,Dayton,17,6,4,1,,,,,,,,,,,,,,,,,,
3,"Freddie ""Fritz""",Lewis,G,IND,WV,67,9,Arizona State,17,4,4,1,,,,,,,,,,,,,,,,,,
4,Bob,Netolicky,FC,IND,SF / IA,67,9,Drake,16,9,1,0,,,,,,,,,,,,,,,,,,
5,Billy,Keller,G,IND,IN,69,7,Purdue,12,2,4,1,,,,,,,,,,,,,,,,,,
6,"Rick ""The Rocket""",Mount,G,IND Ken,IN,70,5,Purdue,12,2,2,1,,,,,,,,,,,,,,,,,,
7,George,Peeples,C,ind car,GA,67,6,Iowa,8,7,1,0,,,,,,,,,,,,,,,,,,
8,Jerry,Harkness,G,ind,Nyc,67,2,Loyola (IL),7,3,2,0,,,,,,,,,,,,,,,,,,
9,Bobby,Hooper,G,IND,OH,68,1,Dayton,5,2,3,0,,,,,,,,,,,,,,,,,,
10,"Bob ""Arnie""",Arnzen,F,in,KY,69,3,Notre Dame,3,1,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,116,51,24,4,,,104,,,,,,,,,,,,,,,
,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,104.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOUISVILLE,T'BREDS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,"Dan ""Horse""",Issel,CF,DEN KEN,IL,70,6,Kentucky,26,11,2,0,,,,,,,,,,,,,,,,,,
2,Darel,Carrier,G,KEN,KY,67,6,Western Kentucky,20,3,3,1,,,,,,,,,,,,,,,,,,
3,"Louie ""King""",Dampier,G,KEN,Indy,67,9,Kentucky,19,3,6,1,,,,,,,,,,,,,,,,,,
4,"Cincy ""Big C""",Powell,FC,KEN Dal Vir,LA,67,8,Portland,16,8,2,1,,,,,,,,,,,,,,,,,,
